Compound,Date,Negative,Neutral,News_Cast,Positive,Tweets Ago
0.0,2018-06-08 07:53:21+00:00,1.0,0.0,@Fox,0.0,323
0.5106,2018-06-08 07:49:23+00:00,0.777,0.0,@Fox,0.223,324
0.0,2018-06-08 07:45:35+00:00,1.0,0.0,@Fox,0.0,325
0.2263,2018-06-08 07:42:56+00:00,0.905,0.0,@Fox,0.095,326
0.7351,2018-06-08 07:40:05+00:00,0.547,0.105,@Fox,0.348,327
0.34,2018-06-07 20:51:50+00:00,0.906,0.0,@Fox,0.094,328
0.0,2018-06-07 16:00:57+00:00,1.0,0.0,@Fox,0.0,329
0.0,2018-06-07 15:28:08+00:00,1.0,0.0,@Fox,0.0,330
0.0,2018-06-07 15:22:34+00:00,1.0,0.0,@Fox,0.0,331
0.0,2018-06-07 15:17:56+00:00,1.0,0.0,@Fox,0.0,332
0.4019,2018-06-07 10:10:04+00:00,0.863,0.0,@Fox,0.137,333
0.7845,2018-06-07 10:05:42+00:00,0.699,0.0,@Fox,0.301,334
0.0,2018-06-07 09:23:57+00:00,1.0,0.0,@Fox,0.0,335
-0.4003,2018-06-07 09:15:51+00:00,0.706,0.2,@Fox,0.094,336
0.6996,2018-06-07 08:22:31+00:00,0.509,0.0,@Fox,0.491,337
-0.296,2018-06-06 18:46:56+00:00,0.833,0.167,@Fox,0.0,338
0.0,2018-06-06 17:45:10+00:00,1.0,0.0,@Fox,0.0,339
